mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
0,8,19,-0.013000000000000012,-2,-11,0.07400000000000007,-7,-13,0.08900000000000008,7,-4,3,-4,-1,-2,-7,-2,7
0,12,15,0.05399999999999999,-2,-1,-0.07100000000000001,-4,4,-0.31700000000000006,8,-4,4,6,6,-1,-9,-6,18
0,1,0,0.013000000000000012,1,1,0.03700000000000003,7,7,0.10899999999999999,3,1,4,5,2,-2,-2,-3,10
0,5,-9,0.13099999999999995,-1,-7,0.192,7,11,-0.1309999999999999,-7,6,-1,7,7,4,-1,-5,16
0,7,11,0.03199999999999997,1,-2,0.09299999999999997,4,4,0.039999999999999925,-2,-1,-3,6,10,-2,-8,-7,19
0,-2,-6,0.007000000000000062,0,-3,0.04899999999999999,8,4,0.20599999999999996,6,14,20,-1,-7,1,11,-4,4
0,1,-8,0.06,0,-9,0.15799999999999992,7,7,0.06099999999999994,-6,-5,-11,-1,5,2,-2,-1,9
0,6,2,0.066,-4,-7,-0.069,11,17,-0.05900000000000005,4,2,6,-1,8,1,-5,-5,19
0,5,-2,0.07100000000000001,-9,-10,-0.20300000000000007,6,9,-0.05499999999999994,-1,2,1,-3,4,0,-5,1,7
0,-3,14,-0.12600000000000006,7,13,0.10600000000000004,5,8,-0.02100000000000013,8,-9,-1,2,5,-4,-7,0,6
0,-1,-6,0.024000000000000077,-1,2,-0.08999999999999997,14,17,-0.013000000000000012,0,6,6,3,0,1,2,-4,11
0,4,-1,0.056999999999999995,0,-5,0.08299999999999996,0,0,-0.0,4,11,15,9,3,-3,6,-4,8
0,7,1,0.07900000000000001,-1,-6,0.05399999999999999,-5,-9,0.08900000000000008,2,5,7,7,3,-6,1,6,8
0,11,3,0.11200000000000004,-5,-7,-0.09400000000000003,6,5,0.137,-7,2,-5,4,6,3,-11,-2,23
0,7,-5,0.09900000000000003,-2,0,-0.06599999999999989,-4,-10,0.1449999999999999,-5,14,9,7,-6,0,5,1,8
0,7,-8,0.15500000000000003,0,-7,0.10799999999999998,-5,2,-0.31399999999999995,-6,6,0,7,2,2,0,2,9
0,12,1,0.14200000000000002,-1,-7,0.08599999999999997,-16,-10,-0.32599999999999996,-1,6,5,5,1,2,-2,5,7
0,10,15,0.052999999999999936,-3,-1,-0.14300000000000002,1,1,0.0040000000000000036,2,1,3,3,3,-2,-7,-2,18
0,0,10,-0.067,10,10,0.278,-7,-10,0.028000000000000025,3,-5,-2,-1,0,-1,-1,0,3
0,2,-7,0.06099999999999994,-6,-9,-0.136,7,11,-0.05400000000000005,-7,-1,-8,-7,3,1,-1,-3,5
0,6,9,0.027000000000000024,4,0,0.14800000000000002,-10,-14,-0.04799999999999993,-7,-4,-11,13,1,1,-6,4,6
0,3,-1,0.04299999999999998,1,4,-0.03200000000000003,0,3,-0.05900000000000005,-7,-7,-14,4,2,2,-7,-9,7
0,1,2,0.003999999999999948,1,3,0.013000000000000012,4,1,0.1469999999999999,-2,-3,-5,0,-5,-3,-1,-6,7
0,-4,8,-0.08100000000000002,-2,-1,-0.07499999999999996,12,13,0.06799999999999995,2,-10,-8,-3,8,-2,-14,-5,2
0,2,3,0.007999999999999952,4,7,0.07800000000000001,-2,1,-0.11199999999999999,5,-1,4,8,2,6,-1,-8,6
0,-1,-13,0.05400000000000005,2,-1,0.09499999999999997,6,10,-0.06700000000000006,-4,5,1,1,-4,0,5,-1,6
0,7,2,0.07700000000000001,-4,-4,-0.13099999999999995,5,3,0.10099999999999998,0,8,8,4,0,2,1,-7,15
0,0,2,-0.01200000000000001,2,2,0.056999999999999995,0,-1,0.05699999999999994,2,1,3,2,3,-1,-4,1,2
0,7,10,0.033999999999999975,3,-2,0.19499999999999998,-4,3,-0.274,8,2,10,8,5,0,-8,-2,13
0,-4,4,-0.06899999999999995,-5,-2,-0.29499999999999993,16,13,0.22799999999999998,5,-3,2,1,3,1,-6,-8,3
0,-2,-12,0.03900000000000009,-4,-7,-0.07600000000000001,12,16,-0.03200000000000003,-5,5,0,-1,2,1,0,-8,4
0,4,-1,0.05499999999999999,-1,0,-0.044999999999999984,-1,5,-0.375,-2,6,4,-1,2,3,-1,-3,6
0,-7,-13,-0.015000000000000013,2,-3,0.22099999999999997,19,15,0.4679999999999999,-5,0,-5,5,2,-5,-2,-10,7
0,1,16,-0.07,3,12,0.02699999999999997,-3,-1,-0.18200000000000005,9,-5,4,1,3,-2,-4,-4,2
0,-8,-11,-0.040000000000000036,6,1,0.30400000000000005,16,18,0.15500000000000003,1,6,7,-1,-6,-2,3,-9,6
0,4,-3,0.063,0,0,0.0,-5,-3,-0.17800000000000005,-6,-2,-8,9,-2,-4,2,1,3
0,9,-4,0.14299999999999996,8,8,0.19699999999999995,-3,3,-0.2350000000000001,-1,11,10,6,2,2,-1,-4,23
